F	X	Y	Z	W	P	R
5	0	0	100	0	0	0
10	2	0	100	0	-0.06821	0
5	2	0	0.001	0	-0.06821	0
10	2	0	0.001	0	-0.06821	0
10	1.167	2.02	0.002	0.06891	-0.03978	0
10	-1.333	2.31	0.002	0.07877	0.04548	0
10	-3	0	0.003	0	0.10231	0
10	-1.667	-2.886	0.003	-0.09844	0.05684	0
10	1.834	-3.176	0.004	-0.10831	-0.06253	0
10	4	0	0.005	0	-0.13642	0
10	3.678	1.93	0.005	0.06584	-0.12544	0
10	2.447	3.545	0.006	0.12092	-0.08346	0
10	0.538	4.429	0.006	0.15107	-0.01834	0
10	-1.636	4.315	0.006	0.14717	0.05581	0
10	-3.57	3.162	0.007	0.10785	0.12174	0
10	-4.78	1.178	0.007	0.04018	0.16302	0
10	-4.929	-1.215	0.008	-0.04144	0.16812	0
10	-3.915	-3.469	0.008	-0.1183	0.13354	0
10	-1.91	-5.035	0.009	-0.17172	0.06512	0
10	0.668	-5.498	0.009	-0.18749	-0.02277	0
10	3.233	-4.684	0.01	-0.15976	-0.11027	0
10	5.176	-2.717	0.01	-0.09265	-0.17654	0
10	6	0	0.011	0	-0.20463	0
7.734	5.774	1.982	0.011	0.0676	-0.19693	0
7.749	4.901	3.815	0.011	0.13011	-0.16716	0
7.762	3.455	5.288	0.012	0.18033	-0.11782	0
7.767	1.576	6.225	0.012	0.21228	-0.05376	0
7.78	-0.539	6.504	0.013	0.22181	0.01838	0
7.786	-2.664	6.073	0.013	0.20713	0.09086	0
7.802	-4.563	4.957	0.014	0.16904	0.15562	0
7.807	-6.017	3.256	0.014	0.11106	0.20522	0
7.824	-6.852	1.143	0.014	0.039	0.23369	0
7.835	-6.957	-1.161	0.015	-0.03959	0.23726	0
7.842	-6.295	-3.407	0.015	-0.11619	0.2147	0
7.857	-4.919	-5.344	0.016	-0.18224	0.16777	0
7.868	-2.96	-6.747	0.016	-0.23012	0.10094	0
7.878	-0.617	-7.448	0.017	-0.25403	0.02105	0
7.886	1.861	-7.347	0.017	-0.25057	-0.06345	0
7.897	4.203	-6.433	0.018	-0.21939	-0.14333	0
7.911	6.147	-4.784	0.018	-0.16316	-0.20963	0
7.926	7.467	-2.563	0.019	-0.08743	-0.25467	0
7.927	8	0	0.019	0	-0.27284	0
6.033	7.826	2.009	0.019	0.06853	-0.26691	0
6.045	7.151	3.931	0.02	0.13407	-0.24387	0
6.05	6.007	5.641	0.02	0.19237	-0.20486	0
6.063	4.458	7.025	0.021	0.23958	-0.15204	0
6.066	2.596	7.989	0.021	0.27246	-0.08853	0
6.077	0.532	8.463	0.021	0.28864	-0.01816	0
6.084	-1.604	8.408	0.022	0.28677	0.0547	0
6.09	-3.679	7.818	0.022	0.26662	0.12546	0
6.102	-5.558	6.719	0.023	0.22915	0.18957	0
6.112	-7.119	5.173	0.023	0.17641	0.2428	0
6.117	-8.256	3.269	0.023	0.11149	0.28158	0
6.128	-8.889	1.123	0.024	0.0383	0.30317	0
6.137	-8.969	-1.133	0.024	-0.03864	0.30588	0
6.143	-8.48	-3.357	0.025	-0.1145	0.28919	0
6.152	-7.443	-5.408	0.025	-0.18443	0.25384	0
6.158	-5.915	-7.15	0.026	-0.24386	0.20174	0
6.164	-3.985	-8.469	0.026	-0.28884	0.13592	0
6.176	-1.769	-9.273	0.027	-0.31625	0.06033	0
6.187	0.598	-9.501	0.027	-0.32404	-0.02039	0
6.198	2.967	-9.13	0.027	-0.31138	-0.10117	0
6.203	5.187	-8.173	0.028	-0.27874	-0.17689	0
6.216	7.115	-6.681	0.028	-0.22786	-0.24265	0
6.224	8.623	-4.74	0.029	-0.16167	-0.29408	0
6.231	9.608	-2.467	0.029	-0.08414	-0.32769	0
6.233	10	0	0.03	0	-0.34105	0
5.034	9.859	2.026	0.03	0.0691	-0.33624	0
5.043	9.308	3.994	0.031	0.13623	-0.31745	0
5.05	8.367	5.824	0.031	0.19861	-0.28535	0
5.06	7.067	7.435	0.031	0.25357	-0.24103	0
5.066	5.46	8.761	0.032	0.29878	-0.18623	0
5.07	3.608	9.74	0.032	0.33219	-0.12303	0
5.077	1.583	10.331	0.033	0.35235	-0.05398	0
5.085	-0.533	10.503	0.033	0.35819	0.01816	0
5.091	-2.652	10.243	0.033	0.34934	0.09045	0
5.099	-4.688	9.557	0.034	0.32594	0.15988	0
5.105	-6.556	8.469	0.034	0.28884	0.22358	0
5.111	-8.175	7.018	0.035	0.23934	0.2788	0
5.119	-9.477	5.26	0.035	0.1794	0.32321	0
5.126	-10.403	3.264	0.035	0.11131	0.35479	0
